sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347311;969481;1589347311;969496;1589347311;969481;8;
1589347311;975994;1589347311;976012;1589347311;975994;8;
1589347311;982901;1589347311;982916;1589347311;982901;8;
1589347311;989694;1589347311;989709;1589347311;989694;8;
1589347311;996169;1589347311;996184;1589347311;996169;8;
1589347312;2337;1589347312;2352;1589347312;2337;8;
1589347312;8921;1589347312;8936;1589347312;8921;8;
1589347312;15023;1589347312;15037;1589347312;15023;8;
1589347312;21357;1589347312;21372;1589347312;21357;8;
1589347312;28442;1589347312;28459;1589347312;28442;8;
1589347312;34532;1589347312;34547;1589347312;34532;8;
1589347312;40923;1589347312;40938;1589347312;40923;0;
1589347312;47416;1589347312;47430;1589347312;47416;0;
1589347312;53588;1589347312;53603;1589347312;53588;0;
1589347312;60027;1589347312;60043;1589347312;60027;0;
1589347312;66850;1589347312;66866;1589347312;66850;0;
1589347312;73702;1589347312;73717;1589347312;73702;0;
1589347312;79727;1589347312;79745;1589347312;79727;0;
1589347312;87510;1589347312;87525;1589347312;87510;0;
1589347312;94097;1589347312;94112;1589347312;94097;0;
1589347312;100907;1589347312;100922;1589347312;100907;0;
1589347312;107959;1589347312;107975;1589347312;107959;0;
1589347312;114071;1589347312;114085;1589347312;114071;0;
1589347312;120702;1589347312;120717;1589347312;120702;0;
1589347312;127308;1589347312;127322;1589347312;127308;0;
1589347312;134338;1589347312;134356;1589347312;134338;0;
1589347312;140954;1589347312;140969;1589347312;140954;0;
1589347312;147490;1589347312;147505;1589347312;147490;0;
1589347312;153594;1589347312;153609;1589347312;153594;0;
1589347312;160495;1589347312;160510;1589347312;160495;0;
1589347312;167042;1589347312;167057;1589347312;167042;0;
1589347312;173166;1589347312;173180;1589347312;173166;0;
1589347312;179503;1589347312;179517;1589347312;179503;0;
1589347312;185830;1589347312;185848;1589347312;185830;0;
1589347312;192586;1589347312;192601;1589347312;192586;0;
