sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;time;grassMax;grassMean;
1589347311;814326;1589347311;814338;1589347311;814326;79;1;0.9878491;
1589347311;820752;1589347311;820765;1589347311;820752;80;1;0.9872761;
1589347311;827051;1589347311;827064;1589347311;827051;81;1;0.9872766;
1589347311;833398;1589347311;833410;1589347311;833398;82;1;0.9872773;
1589347311;839746;1589347311;839761;1589347311;839746;83;1;0.9872141;
1589347311;846499;1589347311;846511;1589347311;846499;84;1;0.9866411;
1589347311;853436;1589347311;853449;1589347311;853436;85;1;0.9866418;
1589347311;860310;1589347311;860323;1589347311;860310;86;1;0.9866424;
1589347311;866641;1589347311;866668;1589347311;866641;87;1;0.9865794;
1589347311;872915;1589347311;872928;1589347311;872915;88;1;0.9860065;
1589347311;879848;1589347311;879860;1589347311;879848;89;1;0.9860071;
1589347311;886578;1589347311;886591;1589347311;886578;90;1;0.9860078;
1589347311;893535;1589347311;893550;1589347311;893535;91;1;0.9860083;
1589347311;899764;1589347311;899776;1589347311;899764;92;1;0.9860086;
1589347311;906103;1589347311;906116;1589347311;906103;93;1;0.986009;
1589347311;912391;1589347311;912404;1589347311;912391;94;1;0.986009;
1589347311;926725;1589347311;926738;1589347311;926725;95;1;0.9860088;
1589347311;933496;1589347311;933509;1589347311;933496;96;1;0.9860086;
1589347311;942297;1589347311;942310;1589347311;942297;97;1;0.9860082;
1589347311;949137;1589347311;949150;1589347311;949137;98;1;0.9860077;
1589347311;956010;1589347311;956025;1589347311;956010;99;1;0.986007;
1589347311;962786;1589347311;962798;1589347311;962786;100;1;0.986006;
1589347311;969730;1589347311;969743;1589347311;969730;101;1;0.9860049;
1589347311;976396;1589347311;976408;1589347311;976396;102;1;0.9860037;
1589347311;983145;1589347311;983157;1589347311;983145;103;1;0.9860024;
1589347311;990119;1589347311;990131;1589347311;990119;104;1;0.9860009;
1589347311;996461;1589347311;996473;1589347311;996461;105;1;0.9859992;
1589347312;2727;1589347312;2739;1589347312;2727;106;1;0.9859973;
1589347312;9183;1589347312;9197;1589347312;9183;107;1;0.9859953;
1589347312;15404;1589347312;15416;1589347312;15404;108;1;0.9859931;
1589347312;21869;1589347312;21882;1589347312;21869;109;1;0.9859908;
1589347312;28702;1589347312;28714;1589347312;28702;110;1;0.9859883;
1589347312;34918;1589347312;34931;1589347312;34918;111;1;0.9859856;
1589347312;41349;1589347312;41362;1589347312;41349;112;1;0.9853583;
1589347312;47664;1589347312;47677;1589347312;47664;113;1;0.9853591;
1589347312;53996;1589347312;54009;1589347312;53996;114;1;0.9853599;
1589347312;60468;1589347312;60480;1589347312;60468;115;1;0.9853606;
1589347312;67264;1589347312;67276;1589347312;67264;116;1;0.9853613;
1589347312;73944;1589347312;73956;1589347312;73944;117;1;0.985362;
1589347312;80286;1589347312;80301;1589347312;80286;118;1;0.9853628;
1589347312;87765;1589347312;87777;1589347312;87765;119;1;0.9853635;
1589347312;94521;1589347312;94534;1589347312;94521;120;1;0.9853643;
1589347312;101282;1589347312;101294;1589347312;101282;121;1;0.9853649;
1589347312;108208;1589347312;108220;1589347312;108208;122;1;0.9853657;
1589347312;114447;1589347312;114461;1589347312;114447;123;1;0.9853663;
1589347312;120954;1589347312;120966;1589347312;120954;124;1;0.9853671;
1589347312;127676;1589347312;127689;1589347312;127676;125;1;0.9853679;
1589347312;134591;1589347312;134604;1589347312;134591;126;1;0.9853687;
1589347312;141379;1589347312;141392;1589347312;141379;127;1;0.9853693;
1589347312;147733;1589347312;147746;1589347312;147733;128;1;0.98537;
1589347312;154003;1589347312;154015;1589347312;154003;129;1;0.9853709;
1589347312;160917;1589347312;160930;1589347312;160917;130;1;0.9853716;
1589347312;167302;1589347312;167316;1589347312;167302;131;1;0.9853722;
1589347312;173564;1589347312;173577;1589347312;173564;132;1;0.985373;
1589347312;179881;1589347312;179893;1589347312;179881;133;1;0.9853738;
1589347312;186233;1589347312;186245;1589347312;186233;134;1;0.9853745;
1589347312;192840;1589347312;192853;1589347312;192840;135;1;0.9853752;
1589347312;199369;1589347312;199382;1589347312;199369;136;1;0.985376;
1589347312;205911;1589347312;205924;1589347312;205911;137;1;0.9853768;
1589347312;213227;1589347312;213240;1589347312;213227;138;1;0.9853774;
1589347312;219938;1589347312;219953;1589347312;219938;139;1;0.9853781;
1589347312;226830;1589347312;226842;1589347312;226830;140;1;0.9853789;
1589347312;233134;1589347312;233146;1589347312;233134;141;1;0.9853797;
1589347312;239402;1589347312;239415;1589347312;239402;142;1;0.9853804;
1589347312;246018;1589347312;246031;1589347312;246018;143;1;0.9853174;
1589347312;253116;1589347312;253129;1589347312;253116;144;1;0.984745;
1589347312;259516;1589347312;259528;1589347312;259516;145;1;0.9847456;
1589347312;265833;1589347312;265846;1589347312;265833;146;1;0.9847463;
1589347312;272752;1589347312;272767;1589347312;272752;147;1;0.9846833;
1589347312;279979;1589347312;279992;1589347312;279979;148;1;0.984111;
1589347312;286276;1589347312;286289;1589347312;286276;149;1;0.9841117;
1589347312;292669;1589347312;292683;1589347312;292669;150;1;0.9841125;
1589347312;299040;1589347312;299053;1589347312;299040;151;1;0.9840496;
1589347312;305813;1589347312;305826;1589347312;305813;152;1;0.9834771;
1589347312;312269;1589347312;312281;1589347312;312269;153;1;0.9834779;
1589347312;318502;1589347312;318515;1589347312;318502;154;1;0.9834787;
1589347312;325392;1589347312;325408;1589347312;325392;155;1;0.9834158;
1589347312;331788;1589347312;331800;1589347312;331788;156;1;0.9828435;
1589347312;338024;1589347312;338038;1589347312;338024;157;1;0.9828442;
1589347312;344887;1589347312;344899;1589347312;344887;158;1;0.9828451;
1589347312;351322;1589347312;351335;1589347312;351322;159;1;0.9827822;
1589347312;357515;1589347312;357528;1589347312;357515;160;1;0.9822099;
1589347312;364439;1589347312;364451;1589347312;364439;161;1;0.9822107;
1589347312;371232;1589347312;371244;1589347312;371232;162;1;0.9822115;
1589347312;377662;1589347312;377675;1589347312;377662;163;1;0.9821488;
1589347312;383847;1589347312;383860;1589347312;383847;164;1;0.9815764;
1589347312;390259;1589347312;390273;1589347312;390259;165;1;0.9815773;
1589347312;397151;1589347312;397164;1589347312;397151;166;1;0.9815782;
1589347312;403413;1589347312;403426;1589347312;403413;167;1;0.9815153;
1589347312;409865;1589347312;409878;1589347312;409865;168;1;0.980943;
1589347312;416099;1589347312;416112;1589347312;416099;169;1;0.980944;
1589347312;422999;1589347312;423012;1589347312;422999;170;1;0.9809449;
1589347312;429785;1589347312;429799;1589347312;429785;171;1;0.9808822;
1589347312;436657;1589347312;436670;1589347312;436657;172;1;0.9803099;
1589347312;443649;1589347312;443661;1589347312;443649;173;1;0.9803109;
1589347312;450788;1589347312;450800;1589347312;450788;174;1;0.9803119;
1589347312;457111;1589347312;457124;1589347312;457111;175;1;0.9802492;
1589347312;464001;1589347312;464013;1589347312;464001;176;1;0.9796769;
1589347312;470747;1589347312;470759;1589347312;470747;177;1;0.9796779;
1589347312;477860;1589347312;477874;1589347312;477860;178;1;0.9796788;
1589347312;485457;1589347312;485472;1589347312;485457;179;1;0.9796161;
1589347312;491791;1589347312;491804;1589347312;491791;180;1;0.9790438;
